,artist,songTitle,genre,name,remixed,key,bpm
0,Hidden Empire,First Bastion - Original Mix,Melodic House & Techno,First Bastion,Original Mix,D maj,126.0
1,Aleja Sanchez,Ether (Headless Horseman Remix),Techno (Raw / Deep / Hypnotic),Ether,Headless Horseman Remix,E♭ maj,128.0
2,Radio Slave,Grindhouse - Slam 'Drum' Mix,Techno (Peak Time / Driving),Grindhouse feat. Danton Eeprom,Slam 'Drum' Mix,G♭ min,130.0
3,Lewis Fautzi,Ionic Bonding,Techno (Peak Time / Driving),Ionic Bonding,Original Mix,B♭ maj,96.0
4,Charlotte de Witte,This - Lewis Fautzi Remix,Techno (Peak Time / Driving),This,Lewis Fautzi Remix,B min,130.0
5,Carl Cox,Inferno,Techno (Peak Time / Driving),Inferno,Original Mix,A♭ maj,126.0
6,Thomas Schumacher,Paradox,Techno (Peak Time / Driving),Paradox,Original Mix,D maj,128.0
7,Anthony Castaldo,Concept of Infinity,Techno (Peak Time / Driving),Concept Of Infinity,Original Mix,D min,128.0
8,Beico & MT93,Let There Be Dark - Original Mix,Techno (Peak Time / Driving),Let There Be Dark,Original Mix,G♯ min,128.0
9,Sam Paganini,Hypnotize,Techno (Peak Time / Driving),Hypnotize (Feat. Zøe),Original Mix,B min,128.0
10,Giorgio Gigli,Hidden Conspiracy,Techno (Raw / Deep / Hypnotic),Hidden Conspiracy,Original Mix,G min,128.0
11,Shlømo,Vertigo,Techno (Raw / Deep / Hypnotic),Vertigo,Original Mix,B♭ min,129.0
12,UVB,Rebirth,Techno (Peak Time / Driving),Rebirth,Original Mix,B maj,101.0
13,Younger Than Me,Ceremony,House,Ceremony,Original Mix,D maj,122.0
14,Marla Singer,Transient - Original Mix,Techno (Peak Time / Driving),Transient,Original Mix,E min,130.0
15,I Hate Models,Sorrows Of The Moon,Techno (Raw / Deep / Hypnotic),Sorrows Of The Moon,Original Mix,G min,134.0
16,I Hate Models,Daydream,Techno (Raw / Deep / Hypnotic),Daydream,Original Mix,G♭ min,136.0
17,Etic,The Cue - Aladiah Remix,,,,,
18,Maceo Plex,Solar Detroit,Techno (Peak Time / Driving),Solar Detroit,Original Mix,E♭ maj,91.0
19,Hatzler,Skyt - Victor Ruiz Remix,Melodic House & Techno,SkyT,Victor Ruiz Remix,G maj,124.0
20,Moonwalk,Synchron,Melodic House & Techno,Synchron,Original Mix,E min,120.0
21,Emmanuel Top,Acid Phase,House,Acid Phase,Original Mix,C maj,135.0
22,Cherrymoon Trax,The House Of House - Original Remastered Mix,Hard Dance / Hardcore,The House Of House,Original Remastered Mix,D♯ min,150.0
23,Sven Sossong,Organ,Techno (Peak Time / Driving),Organ,Original Mix,A maj,126.0
24,Amelie Lens,Follow,Techno (Peak Time / Driving),Follow,Original Mix,G♭ maj,94.0
25,Amelie Lens,In Silence,Techno (Peak Time / Driving),In Silence,Original Mix,C♯ maj,128.0
26,Dave Simon,Traib,Techno (Raw / Deep / Hypnotic),Traib,Original Mix,B min,97.0
27,Alfred Heinrichs,Top That - Original Mix,Techno (Peak Time / Driving),Top That,Original Mix,F min,127.0
28,Elad Magdasi,Hell Strike - Original Mix,Techno (Peak Time / Driving),Hell Strike,Original mix,A min,130.0
29,Cleric,Blitz - Original mix,Techno (Raw / Deep / Hypnotic),Blitz,Original mix,A maj,130.0
30,SHDW,Wächter der Nacht,Techno (Peak Time / Driving),Wachter der Nacht,Original Mix,E min,134.0
31,Obscure Shape,Tränen Der Sonne - Original Mix,Techno (Peak Time / Driving),Tranen Der Sonne,Original Mix,G min,134.0
32,Jon Hopkins,Everything Connected - Stephan Hinz Remix,Techno (Peak Time / Driving),Everything Connected,Stephan Hinz Remix,E min,130.0
33,Nima Khak,All Ways,Techno (Raw / Deep / Hypnotic),All Ways,Original Mix,A min,131.0
34,Pfirter,Iteration,Techno (Raw / Deep / Hypnotic),Iteration,Original Mix,G maj,131.0
35,I Hate Models,Spreading Plague - Perc Remix,Techno (Raw / Deep / Hypnotic),Spreading Plague,Perc Remix,A♯ maj,135.0
36,Parallx,Red Clouds - Somewhen Falling Ashes Mix,Techno (Peak Time / Driving),Red Clouds,Somewhen Falling Ashes Mix,A maj,134.0
37,FJAAK,Drugs,Techno (Peak Time / Driving),Drugs,Original Mix,A min,135.0
38,Hidden Empire,Black Beauty - Drunken Kong Remix,Techno (Peak Time / Driving),Black Beauty,Drunken Kong Remix,E min,126.0
39,UVB,Zakajen - Original Mix,Techno (Peak Time / Driving),Zakajen,Original Mix,B maj,135.0
40,Dax J,Imperial Propaganda - Original Mix,Techno (Raw / Deep / Hypnotic),Imperial Propaganda,Original Mix,A♭ min,133.0
41,Dax J,Wir Leben Für Die Nacht - Original Mix,Techno (Raw / Deep / Hypnotic),Wir Leben Fur Die Nacht,Original Mix,E♭ maj,133.0
42,Acronym,16 Cygni,Techno (Raw / Deep / Hypnotic),16 Cygni,Original Mix,A♭ min,165.0
